has,prefers,count
A,Em,28568
Em,Em,31026
C,Em,150391
Dm,Em,8494
E,Em,1952
D,Em,97867
G,Em,97209
F,Em,36382
Bm,Em,22649
F#,Em,3012
Am,Em,64184
other,Em,64523
B,Em,4476
F#m,Em,4565
Bb,Em,655
A,A,57750
Em,A,30099
C,A,19993
B,A,49774
E,A,157062
D,A,170495
G,A,100723
F,A,7550
Bm,A,63739
Bb,A,3716
Am,A,5297
F#,A,6867
F#m,A,34084
other,A,112766
Dm,A,11877
Em,C,94564
A,C,14206
C,C,87421
Dm,C,49700
E,C,17563
D,C,162597
G,C,461664
F,C,178284
Bm,C,10346
Bb,C,25029
Am,C,125884
F#,C,883
other,C,150206
B,C,10107
F#m,C,451
Em,Dm,6845
A,Dm,7787
C,Dm,39449
Dm,Dm,13655
E,Dm,6570
Bb,Dm,21988
G,Dm,32347
F,Dm,35323
Bm,Dm,612
F#,Dm,87
Am,Dm,35233
other,Dm,41542
B,Dm,1088
F#m,Dm,265
D,Dm,949
A,E,127957
Em,E,2687
C,E,10829
B,E,67254
E,E,47405
D,E,54952
G,E,18935
F,E,12886
Dm,E,2743
Bm,E,13729
Bb,E,511
Am,E,36079
F#m,E,38288
F#,E,20060
other,E,105543
Em,D,131787
A,D,210646
C,D,141629
B,D,7069
E,D,64094
D,D,74040
G,D,281517
F,D,15545
Dm,D,4590
Bm,D,50000
Bb,D,2645
Am,D,45251
F#,D,5498
other,D,138093
F#m,D,22142
A,G,115674
Em,G,119443
C,G,336688
Dm,G,29098
E,G,17196
D,G,368024
G,G,107834
F,G,140808
Bm,G,51290
Bb,G,7476
Am,G,173493
F#,G,9890
other,G,195111
B,G,8362
F#m,G,7464
A,F,8119
Em,F,16681
C,F,270718
Dm,F,35328
E,F,16460
D,F,9218
G,F,167426
F,F,35884
Bm,F,589
Bb,F,31380
Am,F,74447
F#m,F,484
F#,F,1917
B,F,1907
other,F,93849
A,Bm,56078
Em,Bm,25646
C,Bm,22117
Dm,Bm,1131
E,Bm,15968
D,Bm,35595
G,Bm,64794
F,Bm,1235
Bm,Bm,11408
Bb,Bm,703
Am,Bm,8785
F#,Bm,3720
other,Bm,28384
B,Bm,849
F#m,Bm,14203
A,F#,7516
Em,F#,2469
C,F#,1086
B,F#,20832
E,F#,17646
D,F#,4722
G,F#,7989
F,F#,2453
Dm,F#,128
Bm,F#,8975
Bb,F#,934
Am,F#,576
F#m,F#,710
F#,F#,6665
other,F#,59237
Em,Am,63046
A,Am,1998
C,Am,123569
Dm,Am,35804
E,Am,17400
D,Am,41532
G,Am,133083
F,Am,148666
Bm,Am,8003
Bb,Am,7231
Am,Am,40440
F#,Am,414
other,Am,71495
B,Am,3647
F#m,Am,621
Em,other,72300
A,other,123314
C,other,142332
Dm,other,36211
E,other,93502
D,other,133870
G,other,192027
F,other,102072
Bm,other,30074
Bb,other,61841
Am,other,73775
F#m,other,34374
F#,other,54976
B,other,69142
other,other,1109428
A,B,44753
Em,B,10597
C,B,9283
B,B,13865
E,B,57962
D,B,7937
G,B,6027
F,B,2480
Bm,B,997
F#,B,27441
Am,B,2503
F#m,B,7571
other,B,73657
Dm,B,559
Bb,B,1718
A,F#m,24667
Em,F#m,4899
C,F#m,732
B,F#m,9149
E,F#m,28785
D,F#m,34147
G,F#m,14032
F,F#m,1018
Dm,F#m,358
Bm,F#m,16172
Bb,F#m,126
Am,F#m,889
F#,F#m,546
other,F#m,30197
F#m,F#m,6709
A,Bb,5101
Em,Bb,233
C,Bb,30574
Dm,Bb,12605
E,Bb,786
Bb,Bb,7918
G,Bb,4456
F,Bb,45684
Bm,Bb,447
F#,Bb,742
Am,Bb,4604
other,Bb,56129
B,Bb,1406
F#m,Bb,124
D,Bb,2552
